actionType	chemblIds	targetType	targets
INHIBITOR	CHEMBL384304	single protein	ENSG00000123374
INHIBITOR	CHEMBL4297163	single protein	ENSG00000112715
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1783256	single protein	ENSG00000011677
AGONIST	CHEMBL3989798	single protein	ENSG00000169252
AGONIST	CHEMBL1256786	single protein	ENSG00000169252
INHIBITOR	CHEMBL1743022	single protein	ENSG00000119699
INHIBITOR	CHEMBL2303613	protein family	
ANTAGONIST	CHEMBL2028987	single protein	ENSG00000109163
ANTAGONIST	CHEMBL415606	single protein	ENSG00000109163
INHIBITOR	CHEMBL1652128	single protein	
AGONIST	CHEMBL1201664	single protein	ENSG00000171105
INHIBITOR	CHEMBL4303729	single protein	ENSG00000157764
INHIBITOR	CHEMBL221886	protein nucleic-acid complex	
ANTAGONIST	CHEMBL2356097	single protein	ENSG00000043591
ANTAGONIST	CHEMBL13	single protein	ENSG00000043591
INHIBITOR	CHEMBL3137318	single protein	ENSG00000143799
INHIBITOR	CHEMBL3137320	single protein	ENSG00000143799
BLOCKER	CHEMBL1237132	protein family	ENSG00000151067
BLOCKER	CHEMBL1237132	protein family	ENSG00000081248
BLOCKER	CHEMBL1237132	protein family	ENSG00000157388
BLOCKER	CHEMBL1237132	protein family	ENSG00000102001
INHIBITOR	CHEMBL341812	protein family	ENSG00000073756
INHIBITOR	CHEMBL341812	protein family	ENSG00000095303
INHIBITOR	CHEMBL1605	protein family	
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000150594
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000184160
ANTAGONIST	CHEMBL1255582	protein family	ENSG00000274286
ANTAGONIST	CHEMBL23261	single protein	ENSG00000151617
ANTAGONIST	CHEMBL1914489	single protein	ENSG00000183134
INHIBITOR	CHEMBL4650473	single protein	ENSG00000181847
AGONIST	CHEMBL1082607	single protein	ENSG00000169252
AGONIST	CHEMBL1263	single protein	ENSG00000169252
INHIBITOR	CHEMBL86304	single protein	ENSG00000189221
ANTAGONIST	CHEMBL3545367	single protein	ENSG00000137252
INHIBITOR	CHEMBL8	protein complex	
INHIBITOR	CHEMBL142703	single protein	ENSG00000197635
INHIBITOR	CHEMBL4298123	single protein	ENSG00000135077
INHIBITOR	CHEMBL2220486	single protein	ENSG00000066468
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1200549	protein complex group	ENSG00000108556
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1201352	protein complex group	ENSG00000108556
INHIBITOR	CHEMBL1409	single protein	ENSG00000108576
INHIBITOR	CHEMBL814	single protein	ENSG00000108576
AGONIST	CHEMBL1963683	single protein	ENSG00000122420
AGONIST	CHEMBL1200817	single protein	ENSG00000112038
AGONIST	CHEMBL1514	single protein	ENSG00000112038
AGONIST	CHEMBL3707316	single protein	ENSG00000175344
AGONIST	CHEMBL3545347	single protein	ENSG00000130368
INHIBITOR	CHEMBL4650462	single protein	
INHIBITOR	CHEMBL513	single protein	ENSG00000104687
INHIBITOR	CHEMBL2109600	single protein	ENSG00000239697
ANTAGONIST	CHEMBL1200638	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1201287	single protein	ENSG00000196639
INHIBITOR	CHEMBL4297584	single protein	ENSG00000105851
INHIBITOR	CHEMBL1200782	single protein	ENSG00000165646
INHIBITOR	CHEMBL612	single protein	ENSG00000165646
INHIBITOR	CHEMBL601719	chimeric protein	ENSG00000171094
INHIBITOR	CHEMBL601719	chimeric protein	ENSG00000181163
INHIBITOR	CHEMBL3545179	single protein	ENSG00000148053
INHIBITOR	CHEMBL1088750	single protein	ENSG00000112062
INHIBITOR	CHEMBL3989568	protein nucleic-acid complex	
INHIBITOR	CHEMBL1517	protein nucleic-acid complex	
INHIBITOR	CHEMBL245019	single protein	ENSG00000163655
ANTAGONIST	CHEMBL4457723	single protein	ENSG00000121807
INHIBITOR	CHEMBL4650248	single protein	
INHIBITOR	CHEMBL3545377	single protein	ENSG00000149554
BINDING AGENT	CHEMBL4298047	single protein	ENSG00000177455
BLOCKER	CHEMBL1534525	protein family	ENSG00000196557
BLOCKER	CHEMBL1534525	protein family	ENSG00000006283
BLOCKER	CHEMBL1534525	protein family	ENSG00000100346
BLOCKER	CHEMBL45816	protein family	ENSG00000196557
BLOCKER	CHEMBL45816	protein family	ENSG00000006283
BLOCKER	CHEMBL45816	protein family	ENSG00000100346
INHIBITOR	CHEMBL19	single protein	ENSG00000133742
PARTIAL AGONIST	CHEMBL75753	single protein	ENSG00000043591
INHIBITOR	CHEMBL3039543	single protein	ENSG00000121966
AGONIST	CHEMBL2107831	single protein	ENSG00000117400
ANTAGONIST	CHEMBL3989871	single protein	ENSG00000197405
INHIBITOR	CHEMBL187709	single protein	ENSG00000116133
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000160867
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000134962
INHIBITOR	CHEMBL2109464	single protein	ENSG00000169194
AGONIST	CHEMBL979	protein complex group	ENSG00000022355
AGONIST	CHEMBL979	protein complex group	ENSG00000145864
AGONIST	CHEMBL979	protein complex group	ENSG00000113327
AGONIST	CHEMBL979	protein complex group	ENSG00000166206
AGONIST	CHEMBL979	protein complex group	ENSG00000109158
AGONIST	CHEMBL979	protein complex group	ENSG00000182256
AGONIST	CHEMBL979	protein complex group	ENSG00000268089
AGONIST	CHEMBL979	protein complex group	ENSG00000011677
AGONIST	CHEMBL979	protein complex group	ENSG00000094755
