id	drugType	childChemblIds	parentId	linkedTargets.rows
CHEMBL110739	Small molecule			
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000144285
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000183873
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000007314
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000136546
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000136531
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000169432
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000153253
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000168356
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000196876
CHEMBL1195	Small molecule	CHEMBL1769		ENSG00000185313
CHEMBL1200632	Small molecule		CHEMBL1201289	
CHEMBL1200691	Small molecule	CHEMBL3989858		
CHEMBL121790	Small molecule			
CHEMBL1231	Small molecule	CHEMBL1133		ENSG00000133019
CHEMBL1231	Small molecule	CHEMBL1133		ENSG00000181072
CHEMBL1231592	Small molecule	CHEMBL4475544		
CHEMBL1232182	Small molecule			
CHEMBL1233511	Small molecule	CHEMBL3989600		
CHEMBL1233511	Small molecule	CHEMBL2106435		
CHEMBL1234904	Small molecule			
CHEMBL136560	Small molecule			
CHEMBL1373467	Small molecule			
CHEMBL1443272	Small molecule			
CHEMBL148169	Small molecule			
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000167325
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000048392
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000171848
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000101868
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000175482
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000077514
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000062822
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000106628
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000177084
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000014138
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000198056
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000146143
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000100479
CHEMBL1637	Small molecule		CHEMBL888	ENSG00000148229
CHEMBL165315	Small molecule			
CHEMBL1673303	Small molecule			
CHEMBL169526	Small molecule			
CHEMBL1743017	Antibody			ENSG00000127318
CHEMBL182323	Small molecule			
CHEMBL185885	Small molecule			
CHEMBL1888305	Small molecule			
CHEMBL1923234	Small molecule			
CHEMBL1949708	Small molecule			
CHEMBL1957857	Small molecule			
CHEMBL2104927	Small molecule	CHEMBL3542235		ENSG00000115353
CHEMBL2105675	Small molecule		CHEMBL2103837	ENSG00000118271
CHEMBL2106966	Small molecule			
CHEMBL2107826	Small molecule			ENSG00000188778
CHEMBL2107840	Small molecule			
CHEMBL2109177	Antibody			ENSG00000005844
CHEMBL2109673	Unknown			
CHEMBL2153644	Small molecule			
CHEMBL2159741	Small molecule			
CHEMBL2346976	Small molecule			ENSG00000169083
CHEMBL2381968	Small molecule			
CHEMBL2430537	Small molecule			
CHEMBL24781	Small molecule			
CHEMBL257468	Small molecule			
CHEMBL279115	Small molecule			
CHEMBL295301	Small molecule			
CHEMBL298445	Small molecule			
CHEMBL3181832	Small molecule		CHEMBL575	
CHEMBL338790	Small molecule			
CHEMBL340606	Small molecule			
CHEMBL350239	Small molecule	CHEMBL241778		
CHEMBL353861	Small molecule			
CHEMBL3545025	Small molecule			ENSG00000141736
CHEMBL3545025	Small molecule			ENSG00000140443
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000198793
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000145675
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000051382
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000105851
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000121879
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000105647
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000171608
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000141506
CHEMBL3545096	Small molecule		CHEMBL3218578	ENSG00000117461
CHEMBL3545103	Small molecule			ENSG00000169252
CHEMBL3545145	Small molecule			ENSG00000169032
CHEMBL3545145	Small molecule			ENSG00000126934
CHEMBL3545238	Small molecule			ENSG00000131408
CHEMBL3545238	Small molecule			ENSG00000025434
CHEMBL3545312	Small molecule		CHEMBL3121849	
CHEMBL3545340	Small molecule		CHEMBL2170582	ENSG00000165025
CHEMBL363648	Small molecule			ENSG00000112062
CHEMBL3707249	Small molecule			ENSG00000117971
CHEMBL3707249	Small molecule			ENSG00000080644
CHEMBL3707249	Small molecule			ENSG00000181072
CHEMBL3707249	Small molecule			ENSG00000133019
CHEMBL3707249	Small molecule			ENSG00000168539
CHEMBL3707249	Small molecule			ENSG00000175344
CHEMBL3989571	Small molecule		CHEMBL1167	
CHEMBL3989766	Unknown		CHEMBL1688530	
CHEMBL3989990	Antibody			ENSG00000065361
CHEMBL3989990	Antibody			ENSG00000140443
CHEMBL4101866	Small molecule			
CHEMBL411084	Small molecule			
CHEMBL4204833	Small molecule			
CHEMBL4293828	Small molecule			
CHEMBL4297414	Small molecule			
CHEMBL4297519	Small molecule			
CHEMBL4297785	Antibody			ENSG00000181847
CHEMBL4302505	Small molecule	CHEMBL4297309		
CHEMBL447861	Small molecule			
CHEMBL4650300	Oligosaccharide			
CHEMBL4650743	Small molecule	CHEMBL4650363		
CHEMBL466659	Small molecule			ENSG00000061918
CHEMBL466659	Small molecule			ENSG00000123201
CHEMBL466659	Small molecule			ENSG00000152402
CHEMBL466659	Small molecule			ENSG00000164116
CHEMBL469912	Small molecule	CHEMBL531268		
CHEMBL469912	Small molecule	CHEMBL2104870		
CHEMBL471737	Small molecule	CHEMBL2145077		ENSG00000138622
CHEMBL480411	Small molecule			
CHEMBL4847050	Small molecule			
CHEMBL489157	Small molecule			
CHEMBL5182441	unknown			
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000145675
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000051382
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000105851
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000121879
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000105647
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000171608
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000141506
CHEMBL521851	Small molecule	CHEMBL4097197		ENSG00000117461
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000145675
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000051382
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000105851
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000121879
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000105647
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000171608
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000141506
CHEMBL521851	Small molecule	CHEMBL1922096		ENSG00000117461
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000120907
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000171873
CHEMBL524	Small molecule	CHEMBL1201103		ENSG00000170214
CHEMBL551043	Small molecule			
CHEMBL57531	Small molecule			
CHEMBL600084	Small molecule			
CHEMBL604608	Small molecule			
CHEMBL72006	Protein			
CHEMBL8260	Small molecule			
CHEMBL850	Small molecule			
CHEMBL852	Small molecule	CHEMBL1200863		
CHEMBL959	Small molecule	CHEMBL535396		
CHEMBL1089082	Small molecule			
CHEMBL1089141	Small molecule			
CHEMBL1090090	Small molecule			ENSG00000112062
