id	biotype	alternativeGenes	subcellular_location	subcellular_location_label
ENSG00000020219	processed_pseudogene		Cytoplasm	Cellular component
ENSG00000059588	protein_coding		Nuclear speckles	Nucleus speckle
ENSG00000070182	protein_coding		Cytoplasm	Cellular component
ENSG00000070182	protein_coding		Cytosol	Cytosol
ENSG00000070366	protein_coding		Nucleus	Cellular component
ENSG00000070366	protein_coding		Chromosome	Cellular component
ENSG00000070366	protein_coding		Cytoplasm	Cellular component
ENSG00000070366	protein_coding		Nucleoli	Nucleolus
ENSG00000070366	protein_coding		Cytosol	Cytosol
ENSG00000072071	protein_coding	['ENSG00000288324']	Cell membrane	Cellular component
ENSG00000072071	protein_coding	['ENSG00000288324']	Cell projection	Cellular component
ENSG00000072071	protein_coding	['ENSG00000288324']	Presynaptic cell membrane	Cellular component
ENSG00000072071	protein_coding	['ENSG00000288324']	Synapse	Cellular component
ENSG00000073536	protein_coding		Nucleus	Cellular component
ENSG00000073536	protein_coding		Nucleoli	Nucleolus
ENSG00000073536	protein_coding		Nucleoplasm	Nucleoplasm
ENSG00000075290	protein_coding		Secreted	Cellular component
ENSG00000083454	protein_coding		Membrane	Cellular component
ENSG00000083454	protein_coding		Cytosol	Cytosol
ENSG00000083782	protein_coding		Secreted	Cellular component
ENSG00000086200	protein_coding		Cytoplasm	Cellular component
ENSG00000086200	protein_coding		Nucleus	Cellular component
ENSG00000086200	protein_coding		Nucleoplasm	Nucleoplasm
ENSG00000086200	protein_coding		Cytosol	Cytosol
ENSG00000087087	protein_coding		Nucleus	Cellular component
ENSG00000087087	protein_coding		Cytoplasm	Cellular component
ENSG00000087087	protein_coding		Nucleoplasm	Nucleoplasm
ENSG00000087502	protein_coding		Endoplasmic reticulum	Cellular component
ENSG00000087502	protein_coding		Golgi apparatus	Cellular component
ENSG00000087502	protein_coding		Endoplasmic reticulum membrane	Cellular component
ENSG00000087502	protein_coding		Cytoplasm	Cellular component
ENSG00000087502	protein_coding		Nucleus	Cellular component
ENSG00000087502	protein_coding		Golgi apparatus	Golgi apparatus
ENSG00000087502	protein_coding		Vesicles	Vesicle
ENSG00000087502	protein_coding		Nucleoli rim	Nucleolus
ENSG00000092201	protein_coding		Nucleus	Cellular component
ENSG00000092201	protein_coding		Chromosome	Cellular component
